"conditions.gener.","conditions.ens.","conditions.rech.","conditions.admin.","conditions.relmem.","conditions.relaut.","conditions.carri.","conditions.remun.","conditions.equil.","evolution.gener.","evolution.ens.","evolution.rech.","evolution.admin.","evolution.relmem.","evolution.relaut.","evolution.carri.","evolution.remun.","evolution.equil.","optimisme.gener.","optimisme.ens.","optimisme.rech.","optimisme.admin.","optimisme.relmem.","optimisme.relaut.","optimisme.carri.","optimisme.remun.","optimisme.equil.","confiance.Etat.","confiance.MESRI.","confiance.ParitairesNat.","confiance.CNU.","confiance.CoNRS.","confiance.ANR.","confiance.HCERES.","confiance.ONR.","confiance.FU.","confiance.UDICE.","confiance.AUREF.","confiance.Territoire.","confiance.Presidences.","confiance.Conseils.","confiance.ParitairesLocales.","confiance.Dircomp.","PCinquietude.clim.","PCinquietude.eco.","PCinquietude.diplo.","PCinquietude.pol.","PCimpact.clim.","PCimpact.eco.","PCimpact.diplo.","PCimpact.pol.","PCeffort.clim.","PCeffort.eco.","PCeffort.diplo.","PCeffort.pol.","socle.satisfaction.","socle.bonheur.","socle.sens.","socle.valo.","socle.capretraite.","socle.souretraite.","socle.confiance.","sexe","age","anciennete","metier","discipline","categorie","statut","responsabilites"
"4","5","3","3","8","8","7","7","10 - Tout à fait satisfaisantes","5 - Stable","5 - Stable","4","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","6","4","6","3","3","5 - Neutre","5 - Neutre","5 - Neutre","6","8","1","1","1","6","1","0 - Pas du tout","1","6","Ne connais pas","1","Ne connais pas","1","5","1","7","2","8","4","4","10 - Tout à fait","7","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","8","7","7","5 - Neutre","6","6","5 - Neutre","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"3",NA,"3","2","9","9","7","3","3","2",NA,"2","0 - Rapide dégradation","5 - Stable","5 - Stable","3","5 - Stable","3","3",NA,"3","0 - Sans espoir","5 - Neutre","5 - Neutre","3","3","2","0 - Pas du tout","0 - Pas du tout","9","9","9","0 - Pas du tout","4","4","4","4","1","6","4",NA,NA,"9","10 - Tout à fait","5","2","5","10 - Tout à fait","6","0 - Pas du tout","5","1","5","5","5","7","10 - Totalement","3","1","8","5 - Neutre","7","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"3","4","3","1","7","7","1","1","1","3","2","0 - Rapide dégradation","0 - Rapide dégradation","5 - Stable","5 - Stable","3","1","1","1","1","1","1","6","6","1","1","1","0 - Pas du tout","0 - Pas du tout","Ne connais pas","8","Ne connais pas","3","7","Ne connais pas","1","1","1","0 - Pas du tout","0 - Pas du tout","4","8","0 - Pas du tout","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","6","10 - Tout à fait","1","10 - Tout à fait","5","2","2","1","7","8","8","3","3","3","5 - Neutre","Féminin","De 55 à 64 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"7","7","6","6","7","7","4","3","3","4","5 - Stable","4","4","5 - Stable","5 - Stable","5 - Stable","5 - Stable","4","1","1","1","1","2","2","1","0 - Sans espoir","1","0 - Pas du tout","0 - Pas du tout",NA,NA,NA,NA,NA,NA,"0 - Pas du tout",NA,"Ne connais pas",NA,"5","5",NA,"8","9","8","5","8","6","9","0 - Pas du tout","6","6","1","0 - Pas du tout","0 - Pas du tout","7","7","8","4","5 - Neutre","9","4","Masculin","De 25 à 34 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"8",NA,NA,"5","7","7","1","1","8","5 - Stable",NA,NA,"3","5 - Stable","4","1","1","3","3",NA,NA,"3","4","3","2","2","3","0 - Pas du tout","0 - Pas du tout","1","1","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","1","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","2","1","3","3","3","7","8","5","9","7","8","5","9","2","2",NA,"2","5 - Neutre","5 - Neutre","3","3","5 - Neutre","3","8","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'ingénieurie","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","BIATSS catégorie A ou assimilé","Sous contrat CDI","Aucune de ces responsabilités"
"8","8",NA,NA,"8","6","0 - Pas du tout satisfaisantes","7","6","4","7",NA,"4",NA,NA,NA,NA,NA,"5 - Neutre","5 - Neutre",NA,NA,NA,NA,"4","4","5 - Neutre","5","5","5","5","5","5","5","5","5","5","Ne connais pas","5","6","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","7","3","5","2",NA,"2","2","7","4","4","4","4","4",NA,"3","3","5 - Stable","3","3","3","3","3",NA,"2","1","2","0 - Pas du tout","0 - Pas du tout",NA,"2",NA,"0 - Pas du tout","0 - Pas du tout","2",NA,"0 - Pas du tout",NA,NA,"1","3",NA,"5","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","0 - Pas du tout","8","0 - Pas du tout","6","0 - Pas du tout","1",NA,NA,"3","6","3","2","0 - Pas du tout","3","7","Masculin","De 45 à 54 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"6","6","5","5",NA,NA,"7","5","6","4","5 - Stable","4","4",NA,NA,"5 - Stable","4","5 - Stable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","6","3","5","5","7","1","7","3","5 - Stable","5 - Stable","5 - Stable","5 - Stable","3","5 - Stable","5 - Stable","6","4","5 - Neutre","5 - Neutre","3","3","5 - Neutre","5 - Neutre","7","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","4","1","5","2","8","1","8","1","1","5 - Stable","3","2","5 - Stable","5 - Stable","3","9","1","3","6","5 - Neutre","7","7","7","5 - Neutre","5 - Neutre","5 - Neutre","5","5","5","5","5","2","2","6","5","5","5","8","6","5","5","0 - Pas du tout","10 - Tout à fait","7","8","9","5","8","9","10 - Tout à fait","8","7","7","3","2","5 - Neutre","3","2","5 - Neutre","2","5 - Neutre","Masculin","De 55 à 64 ans","De 30 à 39 ans","Personnel de recherche","Santé","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une autre instance centrale d'établissement"
"0 - Pas du tout satisfaisantes","3","0 - Pas du tout satisfaisantes","0 - Pas du tout satisfaisantes","3","7","0 - Pas du tout satisfaisantes","3","0 - Pas du tout satisfaisantes","0 - Rapide dégradation","4","2","0 - Rapide dégradation","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","0 - Sans espoir","5 - Neutre","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5 - Neutre","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","10 - Totalement","10 - Totalement","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","Ne connais pas","0 - Pas du tout","0 - Pas du tout","5","0 - Pas du tout","0 - Pas du tout","5","5","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","5","10 - Tout à fait","0 - Pas du tout","5",NA,"0 - Pas du tout","8","8","7","0 - Pas du tout","5 - Neutre","0 - Pas du tout","5 - Neutre",NA,NA,NA,NA,NA,NA,NA,"Membre élu d'une instance nationale"
"4",NA,"4","5","6","6","5","4","5","3",NA,"3","4","5 - Stable","5 - Stable","4","4","5 - Stable","1",NA,"4","4","5 - Neutre","5 - Neutre","4","1","4","3","2","Ne connais pas","3","5","5","4","6","Ne connais pas","Ne connais pas","Ne connais pas","2","5","7","7","7","5","9","6","10 - Tout à fait","6","7","6","7","6","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5 - Neutre","7","10 - Totalement","3","0 - Pas du tout","6","2","Féminin","De 55 à 64 ans","De 20 à 29 ans","Personnel d'ingénieurie","STEM - Science, Technologie, Ingénierie et Mathématiques","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"5","2","6","4","3","3","2","8","9","3","2","3","3","3","3","1","2","5 - Stable","2","1","3","1","3","4","0 - Sans espoir","1","10 - Serein","0 - Pas du tout","0 - Pas du tout","8","1","8","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","8","2","10 - Tout à fait","4","7","8","10 - Tout à fait","10 - Tout à fait","2","10 - Tout à fait","2","2","2","2","7","5 - Neutre","6","7","8","5 - Neutre","7","Masculin","De 35 à 44 ans","De 20 à 29 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"7","7","6","6","9","8","8","8","8","5 - Stable","5 - Stable","4","4","5 - Stable","5 - Stable","4","6","5 - Stable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,"0 - Pas du tout satisfaisantes","10 - Tout à fait satisfaisantes","7","3","3","5","2",NA,NA,"0 - Rapide dégradation","10 - Rapide amélioration","6","2","0 - Rapide dégradation","3","0 - Sans espoir",NA,NA,"0 - Sans espoir","10 - Serein","5 - Neutre","0 - Sans espoir","0 - Sans espoir","5 - Neutre","1","1","1","3","3","2","0 - Pas du tout","3","3","0 - Pas du tout","Ne connais pas","0 - Pas du tout","2","2","2","0 - Pas du tout","5","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","3","10 - Tout à fait","3","1","8","5","3","3","3","3","3","1","6","2","9","Féminin","De 55 à 64 ans","De 10 à 19 ans","Personnel administratif","STEM - Science, Technologie, Ingénierie et Mathématiques","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"7","5","8","3","8","6","9","8","5","5 - Stable","4","5 - Stable","2","5 - Stable","2","8","7","5 - Stable","3","2","1","0 - Sans espoir","5 - Neutre","2","4","5 - Neutre","5 - Neutre","1","2","Ne connais pas","Ne connais pas","Ne connais pas","6","2","2","Ne connais pas","Ne connais pas","Ne connais pas","2","1","Ne connais pas","Ne connais pas","4","9","3","5","10 - Tout à fait","9","5","1","8","1","4","5","2","6","7","9","5 - Neutre","2","9","5 - Neutre","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"3","3","3","3","9","9","3","3","3","3",NA,"3","3","8","8","3","3","3","3","3","3","3","8","8","3","3","3","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","1","1","1","1","Ne connais pas","Ne connais pas","1","1","1","Ne connais pas","4","7","7","5","7","6","10 - Tout à fait","5","9","1","1",NA,"1","6","7","7","6","6","6","7","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","Santé","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"5","7","5","7","3","3","7","9","0 - Pas du tout satisfaisantes","3","5 - Stable","3","5 - Stable","4","4","5 - Stable","5 - Stable","2","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5 - Neutre","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","3","3","10 - Totalement","10 - Totalement","10 - Totalement","3","0 - Pas du tout","0 - Pas du tout","Ne connais pas","Ne connais pas","Ne connais pas","4","7","7","7","10 - Totalement","10 - Tout à fait","5","5","10 - Tout à fait","0 - Pas du tout","8","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","7","7","5 - Neutre","2","2","2","9","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"8","7","8","4","9","8","5","6","2","4","3","4","3","7","7","5 - Stable","4","4","5 - Neutre","3","3","2","8","8","3","2","3","2","2","3","7","6","2","1","7","5","Ne connais pas","Ne connais pas","5","6","7","Ne connais pas","9","10 - Tout à fait","8","7","7","5","9","9","9","3","5","3","5","6","7","9","6","8","8","7","Masculin","De 45 à 54 ans","De 10 à 19 ans","Personnel de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"7","6","4","5","8","8","7","5","5","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","4","3","4","4","6","4","5 - Neutre","4","3","3","3","Ne connais pas","7","Ne connais pas","0 - Pas du tout","0 - Pas du tout","5","2","0 - Pas du tout","Ne connais pas","5","7","5","7","9","10 - Tout à fait","8","8","8","6","5","5","5","5","3","3","4","7","8","6","3","5 - Neutre","7","6","Masculin","De 25 à 34 ans","De 5 à 9 ans","Personnel d'enseignement et de recherche","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"8",NA,"6","7","7","6","7","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"7","6","6","6","0 - Pas du tout satisfaisantes","2","7","4",NA,"4","4","6","6","0 - Rapide dégradation","1","7","4","4","4","4","5 - Neutre","5 - Neutre","0 - Sans espoir","1","7","2","2",NA,NA,"3","2","4","0 - Pas du tout",NA,NA,NA,"6","2","2","3","6","10 - Tout à fait","8","8","6","7","8","5","7","5","5","5","5","7","5 - Neutre","5 - Neutre","1","5 - Neutre","5 - Neutre","5 - Neutre","Féminin","De 55 à 64 ans","De 30 à 39 ans","Personnel administratif","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","BIATSS catégorie B ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"7","6","7","6","7","7","5","8","5","4","4","5 - Stable","4","5 - Stable","5 - Stable","5 - Stable","6","4","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","6","6","5 - Neutre","5 - Neutre","5 - Neutre","2","2","2","6","2","2","2","2","2","2","2","5","5","5","5","5","10 - Tout à fait","8","8","8","8","7","5","8","5","5",NA,NA,"8","8","8","6","6","8","7","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'un conseil central d'établissement (CA, CR, CFVU...)"
"8",NA,NA,"8","8","7","7","6","6","5 - Stable",NA,NA,"5 - Stable","7","7","5 - Stable","4","4","4","4","4","4","5 - Neutre","5 - Neutre","4","4","4","0 - Pas du tout","1","3",NA,NA,NA,NA,NA,NA,NA,NA,"3","3",NA,NA,"2","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","9","9","9","9","6","5",NA,"6","6","6","7","7","5 - Neutre","4","2",NA,"De 35 à 44 ans","De 5 à 9 ans","Personnel de bibliothéque",NA,"BIATSS catégorie B ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"5",NA,"6","4","7","5","3","5","8","4",NA,"4","3","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Neutre",NA,"5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","4","5 - Neutre","0 - Pas du tout","4","7","5","6","1","1","3","Ne connais pas","Ne connais pas","Ne connais pas","3","4","6","7","6","9","7","7","5","8","9","6","4","6","3","5","0 - Pas du tout","7","6","9","6","6","4","5 - Neutre","Féminin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'un conseil central d'établissement (CA, CR, CFVU...)"
"6","2","4","3","10 - Tout à fait satisfaisantes","8",NA,"5","10 - Tout à fait satisfaisantes","2","0 - Rapide dégradation","2","2","5 - Stable","5 - Stable",NA,"3","5 - Stable","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","0 - Sans espoir","5 - Neutre","5 - Neutre",NA,"0 - Sans espoir","2","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","4","10 - Totalement","0 - Pas du tout","0 - Pas du tout","2","Ne connais pas","0 - Pas du tout","Ne connais pas","1","0 - Pas du tout","0 - Pas du tout","2","2","10 - Tout à fait","8","8","10 - Tout à fait","7","9","8","9","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout",NA,NA,"8","3","10 - Totalement","10 - Totalement","8",NA,NA,NA,"Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique",NA
"5","2","6","4","10 - Tout à fait satisfaisantes","8","4","2","5","4","2","5 - Stable","2","5 - Stable","5 - Stable","4","3","5 - Stable","3","1","3","1","5 - Neutre","5 - Neutre","3","1","5 - Neutre","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5","5","2","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","2","5","8","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","4","3","5","5","8","8","10 - Totalement","5 - Neutre","8","10 - Totalement","5 - Neutre","Féminin","De 35 à 44 ans","De 20 à 29 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"6","6","5","6","7","7","7","6","4","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","6","6","4","4","4","4","3","9","9","6","7","3","0 - Pas du tout","2","Ne connais pas","5","5","0 - Pas du tout","0 - Pas du tout","7","5","5","5","5","7","7","6","9","7","5","5","7","2","8","2","10 - Tout à fait","6","5","7","5","7","6","8","4","8","9","6","Masculin","De 25 à 34 ans","De 5 à 9 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"4","5","5","3","5","3","5","5","5","3","5 - Stable","3","3","3","3","5 - Stable","7","5 - Stable","1","1","1","1","1","1","1","1","1","1","5","5","1","5","0 - Pas du tout","0 - Pas du tout","5","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5","5","5","5","10 - Totalement","10 - Tout à fait","7","7","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","3","10 - Tout à fait","7","2","2","0 - Pas du tout","7","10 - Totalement","10 - Totalement","1","10 - Totalement","10 - Totalement","8","Masculin","De 45 à 54 ans","De 20 à 29 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Membre élu d'une instance nationale"
"9",NA,NA,"3","10 - Tout à fait satisfaisantes","10 - Tout à fait satisfaisantes","9","7","9","5 - Stable",NA,NA,"1","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","7","2","2","1","10 - Serein","10 - Serein","7","3","5 - Neutre","0 - Pas du tout","2","Ne connais pas","Ne connais pas","Ne connais pas","3","2","7","Ne connais pas","Ne connais pas","Ne connais pas","5","10 - Totalement","8","Ne connais pas","10 - Totalement","10 - Tout à fait","7","8","7","3","4","2","10 - Tout à fait","2","1","0 - Pas du tout","0 - Pas du tout","8","8","10 - Totalement","4","10 - Totalement","10 - Totalement","9","Masculin","De 25 à 34 ans","De 5 à 9 ans","Personnel d'ingénieurie","STEM - Science, Technologie, Ingénierie et Mathématiques","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"7",NA,NA,"1","5","5","0 - Pas du tout satisfaisantes","6","10 - Tout à fait satisfaisantes","3",NA,"4","0 - Rapide dégradation","4","5 - Stable","5 - Stable","5 - Stable","6","0 - Sans espoir","4","2","1","5 - Neutre","5 - Neutre","4","4","5 - Neutre","5","0 - Pas du tout","5","5","5","0 - Pas du tout","5","5","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","8","5","6","8","0 - Pas du tout","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","0 - Pas du tout","10 - Tout à fait","5","5","5","5","0 - Pas du tout","0 - Pas du tout","5 - Neutre","9","6","5 - Neutre","10 - Totalement","9","0 - Pas du tout","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel administratif","LLA-SHS - Lettres, Langues, Arts et Sciences Humaines et Sociales","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
"7","9","4","5","6","6","2","5","7","3","5 - Stable","4","4","4","4","2","5 - Stable","6","3","4","2","2","4","4","1","1","5 - Neutre","0 - Pas du tout","0 - Pas du tout","6","6","6","2","2","3","0 - Pas du tout","0 - Pas du tout","Ne connais pas","1","3","3","7","5","10 - Tout à fait","8","6","8","2","10 - Tout à fait","0 - Pas du tout","8","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","7","9","8","6","8","8","7",NA,NA,NA,NA,NA,NA,NA,NA
"7","7","7","4","9","9","9","10 - Tout à fait satisfaisantes","7","4","4","4","4","5 - Stable","5 - Stable","5 - Stable","5 - Stable","5 - Stable","3","3","3","2","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","5 - Neutre","2","2","5","5","5","4","4","6","5","5","5","0 - Pas du tout","5","5","9","5","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","8","8","4","8","5","5",NA,NA,"8","10 - Totalement","8","8","8","10 - Totalement","7","Féminin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'une direction de composante ou laboratoire"
"4",NA,"3","2","3","2",NA,"7","2","2",NA,"3","4","2","2",NA,"5 - Stable","3","3",NA,"3","4","3","3",NA,"2","6","2","3",NA,"6",NA,"7","3","1",NA,NA,NA,NA,"8","5","8","9","9","8","10 - Tout à fait","9","6","8","2","8","8","3","2","1","7","8","9","7","6","7","8","Masculin","Au moins 65 ans","De 30 à 39 ans","Personnel de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","PR, DR ou assimilé","Sous contrat CDI","Membre d'une direction de composante ou laboratoire"
"6","7","5","1","10 - Tout à fait satisfaisantes","7","1","3","3","3","5 - Stable","3","1","5 - Stable","4","5 - Stable","3","3","4","5 - Neutre","4","2","5 - Neutre","5 - Neutre","3","2","2","0 - Pas du tout","0 - Pas du tout","6","6","6","0 - Pas du tout","4","4","Ne connais pas","Ne connais pas","Ne connais pas","4","3","3","6","7","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","10 - Tout à fait","7","10 - Tout à fait","7","10 - Tout à fait","7","3",NA,NA,"7","8","5 - Neutre","3","5 - Neutre","7","7","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'ingénieurie","STEM - Science, Technologie, Ingénierie et Mathématiques","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Membre d'un conseil de composante ou laboratoire"
"8","10 - Tout à fait satisfaisantes","8","9","6","9","5","5","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","3","3","2","6","6","3","6","2","3","3","1","1","4","4","2","5 - Stable","1","2","2","2","2","2","2","2","2","1","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","2","0 - Pas du tout","0 - Pas du tout","0 - Pas du tout","5","2","1","1","2","6","1","6","3","5","5","10 - Tout à fait","10 - Tout à fait","5","5","8","8","3","3","2","2","5 - Neutre","8","3","8","3","3","8","Masculin","De 35 à 44 ans","De 10 à 19 ans","Personnel d'enseignement et de recherche","STEM - Science, Technologie, Ingénierie et Mathématiques","MCF, CR, PRAG, PRCE ou assimilé","Titulaire d'un poste de la fonction publique","Responsable pédagogique"
"5",NA,"5",NA,NA,NA,"5","6","7","5 - Stable",NA,"4",NA,NA,NA,"5 - Stable","5 - Stable","5 - Stable","4",NA,"4",NA,NA,NA,"4","5 - Neutre","5 - Neutre","4","4","6",NA,"7","4","4","6",NA,NA,NA,"8","7",NA,"8","9","8","8","6","8","3","7","3","7","6",NA,NA,NA,"8","8","7","4","8","8","5 - Neutre","Masculin","De 55 à 64 ans","De 30 à 39 ans","Personnel d'ingénieurie","Santé","BIATSS catégorie A ou assimilé","Titulaire d'un poste de la fonction publique","Aucune de ces responsabilités"
